Code Tiers;Nom;CP;Ville;EAN;Ref;Désignation;Famille;sous-famille;Marque;Colis;Qte;BLqte;PUB;R1;R2;RQ;Montant;Code TVA;Code TPF;Taxe Soda;EcoTaxe;Prix Net
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990003785;LEG176                   ;AIL SEC BLANC FRANCE, CAL 50/70, LE KG                                          ;01      ;1LEG    ;AIL     ;     1;       5,000;       5,000;      10,400;  0,00;  0,00;  0,00;        52,00;1;1;      0,0000;   0,0000;      10,400
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;3359626205021;LEG570                   ;ALGUE ALIMENTAIRE FRAICHE PANACHE, 12x100G, LES 100G                            ;01      ;1LEG    ;AROMATIQ;     1;      12,000;      12,000;       2,190;  0,00;  0,00;  0,00;        26,28;1;1;      0,0000;   0,0000;       2,190
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999101847;LEG477                   ;AROMATE BOTTE CORIANDRE, LA BOTTE                                               ;01      ;1LEG    ;AROMATIQ;     1;      10,000;      10,000;       1,190;  0,00;  0,00;  0,00;        11,90;1;1;      0,0000;   0,0000;       1,190
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999113079;LEG985                   ;ARTICHAUT BLANC FRANCE, LE KG                                                   ;01      ;1LEG    ;ARTICHAU;     1;       7,000;       7,000;       5,100;  0,00;  0,00;  0,00;        35,70;1;1;      0,0000;   0,0000;       5,100
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990000256;LEG018                   ;ASPERGES BLANCHES/VIOLETTES VRAC FRANCE, CAT 2, LE KG                           ;01      ;1LEG    ;ASPERGE ;     3;      15,000;      15,000;       8,450;  0,00;  0,00;  0,00;       126,75;1;1;      0,0000;   0,0000;       8,450
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990000076;LEG000                   ;BETTERAVE CRUE ROUGE FRANCE, LE KG                                              ;01      ;1LEG    ;BETTERAV;     1;       5,000;       5,000;       1,460;  0,00;  0,00;  0,00;         7,30;1;1;      0,0000;   0,0000;       1,460
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990003794;LEG177                   ;BLETTE PIED FRANCE, LE KG                                                       ;01      ;1LEG    ;BLETTE  ;     1;       6,000;       6,000;       3,380;  0,00;  0,00;  0,00;        20,28;1;1;      0,0000;   0,0000;       3,380
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990004234;LEG185                   ;CAROTTE BOTTE FRANCE, LA PIECE                                                  ;01      ;1LEG    ;CAROTTE ;     1;      12,000;      12,000;       2,160;  0,00;  0,00;  0,00;        25,92;1;1;      0,0000;   0,0000;       2,160
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990001084;LEG102                   ;CAROTTE LAVEE FRANCE, CAL 20/40, LE KG                                          ;01      ;1LEG    ;CAROTTE ;     1;      12,000;      12,000;       1,500;  0,00;  0,00;  0,00;        18,00;1;1;      0,0000;   0,0000;       1,500
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999103322;LEG578                   ;CHAMPIGNON BRUN PIED ENTIER FRANCE, LE KG                                       ;01      ;1LEG    ;CHAMPIGN;     2;       4,000;       4,000;       7,500;  0,00;  0,00;  0,00;        30,00;1;1;      0,0000;   0,0000;       7,500
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999114397;LEG842                   ;CHOU CHOUCROUTE BOCAL, 750Gx6PCES, LE BOCAL                                     ;01      ;1LEG    ;CHOUCR  ;     1;       6,000;       6,000;       3,180;  0,00;  0,00;  0,00;        19,08;1;1;      0,0000;   0,0000;       3,180
