Code Tiers;Nom;CP;Ville;EAN;Ref;Désignation;Famille;sous-famille;Marque;Colis;Qte;BLqte;PUB;R1;R2;RQ;Montant;Code TVA;Code TPF;Taxe Soda;EcoTaxe;Prix Net
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999100499;LEG329                   ;BETTERAVE CHIOGGIA FRANCE, LE KG                                                ;01      ;1LEG    ;BETTERAV;     1;       5,000;       5,000;       1,860;  0,00;  0,00;  0,00;         9,30;1;1;      0,0000;   0,0000;       1,860
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990003794;LEG177                   ;BLETTE PIED FRANCE, LE KG                                                       ;01      ;1LEG    ;BLETTE  ;     1;       7,000;       7,000;       2,250;  0,00;  0,00;  0,00;        15,75;1;1;      0,0000;   0,0000;       2,250
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990004234;LEG185                   ;CAROTTE BOTTE FRANCE, LA PIECE                                                  ;01      ;1LEG    ;CAROTTE ;     2;      24,000;      24,000;       2,210;  0,00;  0,00;  0,00;        53,04;1;1;      0,0000;   0,0000;       2,210
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990001642;LEG158                   ;CELERI BRANCHE FRANCE, LE KG                                                    ;01      ;1LEG    ;CELERI  ;     1;       5,000;       5,000;       1,980;  0,00;  0,00;  0,00;         9,90;1;1;      0,0000;   0,0000;       1,980
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999103322;LEG578                   ;CHAMPIGNON BRUN *VRAC* PIED NON COUPE FRANCE, LE KG                             ;01      ;1LEG    ;CHAMPIGN;     3;       6,000;       6,000;       7,560;  0,00;  0,00;  0,00;        45,36;1;1;      0,0000;   0,0000;       7,560
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990001057;LEG099                   ;CHOUX BROCOLI FRANCE, LE KG                                                     ;01      ;1LEG    ;CHOUXBRO;     1;       5,000;       5,000;       4,760;  0,00;  0,00;  0,00;        23,80;1;1;      0,0000;   0,0000;       4,760
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;             ;LEG1030                  ;CHOUX KALE FRANCE, 4 KG, LE KG                                                  ;01      ;1LEG    ;CHOUX   ;     1;       4,000;       4,000;       3,070;  0,00;  0,00;  0,00;        12,28;1;1;      0,0000;   0,0000;       3,070
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990000184;LEG011                   ;CHOUX-FLEURS FRANCE, 8 PCES, LE COLIS                                           ;01      ;1LEG    ;CHOUXFL ;     1;       1,000;       1,000;      13,260;  0,00;  0,00;  0,00;        13,26;1;1;      0,0000;   0,0000;      13,260
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990001381;LEG132                   ;COURGE BUTTERNUT FRANCE, LE KG                                                  ;01      ;1LEG    ;COURGE  ;     1;      16,500;      16,500;       1,700;  0,00;  0,00;  0,00;        28,05;1;1;      0,0000;   0,0000;       1,700
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999107214;LEG585                   ;COURGE POTIMARRON ORANGE FRANCE, LE KG                                          ;01      ;1LEG    ;POTIMARR;     1;      13,000;      13,000;       1,720;  0,00;  0,00;  0,00;        22,36;1;1;      0,0000;   0,0000;       1,720
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990000364;LEG030                   ;FENOUIL FRANCE, LE KG                                                           ;01      ;1LEG    ;FENOUIL ;     1;       7,000;       7,000;       3,920;  0,00;  0,00;  0,00;        27,44;1;1;      0,0000;   0,0000;       3,920
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990000111;LEG004                   ;NAVET BOULE D'OR FRANCE, CAL 40/60, LE KG                                       ;01      ;1LEG    ;NAVET   ;     1;       5,000;       5,000;       2,020;  0,00;  0,00;  0,00;        10,10;1;1;      0,0000;   0,0000;       2,020
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990001101;LEG104                   ;OIGNON JAUNE ESPAGNE, CAL 60/80, LE KG                                          ;01      ;1LEG    ;OIGNON  ;     1;      10,000;      10,000;       1,150;  0,00;  0,00;  0,00;        11,50;1;2;      0,0000;   0,0000;       1,150
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999109263;LEG966                   ;P DE TERRE DE CONSOMMATION SAC (FERME), SAC 4 x2,5KG, LE KG                     ;01      ;1LEG    ;PDT     ;     4;      16,000;      16,000;       3,720;  0,00;  0,00;  0,00;        59,52;1;1;      0,0000;   0,0000;       3,720
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999101090;LEG455                   ;P DE TERRE DE CONSOMMATION SAC (TENDRE), SAC 4x2,5KG                            ;01      ;1LEG    ;PDT     ;     1;       4,000;       4,000;       3,720;  0,00;  0,00;  0,00;        14,88;1;1;      0,0000;   0,0000;       3,720
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990000841;LEG078                   ;PANAIS FRANCE, LE KG                                                            ;01      ;1LEG    ;PANAIS  ;     1;       5,000;       5,000;       2,120;  0,00;  0,00;  0,00;        10,60;1;1;      0,0000;   0,0000;       2,120
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999110306;LEG345                   ;PATATE DOUCE FRANCE, CAL MOYEN/GROS, LE KG                                      ;01      ;1LEG    ;PDT     ;     2;      12,000;      12,000;       2,400;  0,00;  0,00;  0,00;        28,80;1;1;      0,0000;   0,0000;       2,400
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990004478;LEG301                   ;RADIS ROUGE TYPE ROUGE DE CHINE FRANCE, LE KG                                   ;01      ;1LEG    ;RADIS   ;     1;       5,000;       5,000;       2,190;  0,00;  0,00;  0,00;        10,95;1;1;      0,0000;   0,0000;       2,190
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999100628;LEG442                   ;TOPINAMBOUR FRANCE, LE KG                                                       ;01      ;1LEG    ;TOPINANB;     1;       5,000;       5,000;       1,860;  0,00;  0,00;  0,00;         9,30;1;1;      0,0000;   0,0000;       1,860
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999104459;FRI624                   ;AVOCAT HASS *VRAC* ESPAGNE, CAL 30/32, 6 KG, LE KG                              ;01      ;2FRU    ;AVOCAT  ;     1;       6,000;       6,000;       4,020;  0,00;  0,00;  0,00;        24,12;1;2;      0,0000;   0,0000;       4,020
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999102240;FRI511                   ;BANANE TOURNANT JAUNE COLO 4, LE KG                                             ;01      ;2FRU    ;BANANE  ;     1;      18,500;      18,500;       1,370;  0,00;  0,00;  0,00;        25,35;1;2;      0,0000;   0,0000;       1,370
