Code Tiers;Nom;CP;Ville;EAN;Ref;Désignation;Famille;sous-famille;Marque;Colis;Qte;BLqte;PUB;R1;R2;RQ;Montant;Code TVA;Code TPF;Taxe Soda;EcoTaxe;Prix Net
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999100499;LEG329                   ;BETTERAVE CHIOGGIA FRANCE, LE KG                                                ;01      ;1LEG    ;BETTERAV;     1;       5,000;       5,000;       1,790;  0,00;  0,00;  0,00;         8,95;1;1;      0,0000;   0,0000;       1,790
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990003794;LEG177                   ;BLETTE PIED FRANCE, LE KG                                                       ;01      ;1LEG    ;BLETTE  ;     1;       7,000;       7,000;       2,390;  0,00;  0,00;  0,00;        16,73;1;1;      0,0000;   0,0000;       2,390
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990004234;LEG185                   ;CAROTTE BOTTE FRANCE, LA PIECE                                                  ;01      ;1LEG    ;CAROTTE ;     1;      12,000;      12,000;       2,610;  0,00;  0,00;  0,00;        31,32;1;1;      0,0000;   0,0000;       2,610
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990000670;LEG061                   ;CAROTTE NON LAVEE FRANCE, LE KG                                                 ;01      ;1LEG    ;CAROTTE ;     1;      12,000;      12,000;       1,380;  0,00;  0,00;  0,00;        16,56;1;1;      0,0000;   0,0000;       1,380
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999103322;LEG578                   ;CHAMPIGNON BRUN *VRAC* PIED NON COUPE FRANCE, LE KG                             ;01      ;1LEG    ;CHAMPIGN;     6;      12,000;      12,000;       7,390;  0,00;  0,00;  0,00;        88,68;1;1;      0,0000;   0,0000;       7,390
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990001066;LEG100                   ;CHOUX BROCOLI ESPAGNE, LE KG                                                    ;01      ;1LEG    ;CHOUXBRO;     1;       6,000;       6,000;       3,300;  0,00;  0,00;  0,00;        19,80;1;2;      0,0000;   0,0000;       3,300
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999107191;LEG551                   ;CHOUX-FLEURS FRANCE, 11 PCES, LE COLIS                                          ;01      ;1LEG    ;CHOUXFL ;     1;       1,000;       1,000;       8,120;  0,00;  0,00;  0,00;         8,12;1;1;      0,0000;   0,0000;       8,120
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999990001381;LEG132                   ;COURGE BUTTERNUT FRANCE, LE KG                                                  ;01      ;1LEG    ;COURGE  ;     1;      16,000;      16,000;       1,740;  0,00;  0,00;  0,00;        27,84;1;1;      0,0000;   0,0000;       1,740
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999109263;LEG966                   ;P DE TERRE DE CONSOMMATION SAC (FERME), SAC 4 x2,5KG, LE SAC                    ;01      ;1LEG    ;PDT     ;     4;      16,000;      16,000;       3,720;  0,00;  0,00;  0,00;        59,52;1;1;      0,0000;   0,0000;       3,720
C7806932;POP LA COOP                           ;78160   ;MARLY LE ROI                          ;9999999101090;LEG455                   ;P DE TERRE DE CONSOMMATION SAC (TENDRE), SAC 4x2,5 LE SAC                       ;01      ;1LEG    ;PDT     ;     2;       8,000;       8,000;       3,720;  0,00;  0,00;  0,00;        29,76;1;1;      0,0000;   0,0000;       3,720
