prod_commandeList
id
ean;commande_id
commande_id;ean;quantite;prixAchat
78;AE006;1;2.7
78;AE060;1;2.55
78;AE061;1;2.55
78;AE070;1;3.85
78;AE096;1;2.2
78;AE201;2;8.1
78;AE252;2;8.3
78;AE263;2;8.65
78;AE501;1;9.9
78;AE502;1;9.9
78;AE503;1;9.9
78;AH255;1;2.15
78;AHV885;1;0.69
78;DO018;2;1.23
78;DO019;1;4.75
78;DO022;1;5.75
78;DO026;1;1.1
78;DO027;1;0.81
78;DO035;1;0.65
78;DO034;1;3.43
78;DO075;1;11.4
78;DO146;2;2.2
78;DO147;1;1.98
78;DO0160;1;4.05
78;DO163;1;1.55
78;DO171;1;1.4
78;DO283;1;3.75
78;DO430;1;4.95
78;HY003;1;0.89
78;RE207055;1;3.95
